location_name,timestamp,temperature_min,temperature_max,temperature_avg,precipitation,snowfall,snow_depth,heating_degree_days,cooling_degree_days
"San Francisco, CA",2019-04-03 00:00:00-07:00,11.7,15.0,13.3,1.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-04 00:00:00-07:00,11.7,17.2,14.4,0.3,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-04-05 00:00:00-07:00,12.2,16.7,14.4,3.3,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-04-06 00:00:00-07:00,12.8,18.9,15.8,0.5,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-04-07 00:00:00-07:00,13.3,20.0,16.7,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-04-08 00:00:00-07:00,12.8,19.4,16.1,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-04-09 00:00:00-07:00,11.1,16.1,13.6,1.5,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-10 00:00:00-07:00,9.4,16.7,13.1,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-11 00:00:00-07:00,11.7,15.0,13.3,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-12 00:00:00-07:00,10.0,17.8,13.9,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-04-13 00:00:00-07:00,9.4,21.1,15.3,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-04-14 00:00:00-07:00,9.4,13.3,11.4,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-04-15 00:00:00-07:00,8.3,13.3,10.8,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-04-16 00:00:00-07:00,9.4,16.7,13.1,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-17 00:00:00-07:00,9.4,19.4,14.4,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-04-18 00:00:00-07:00,9.4,25.6,17.5,0.0,0.0,0.0,1.0,0.0
"San Francisco, CA",2019-04-19 00:00:00-07:00,9.4,17.2,13.3,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-20 00:00:00-07:00,10.6,13.3,11.9,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-04-21 00:00:00-07:00,8.3,17.2,12.8,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-04-22 00:00:00-07:00,9.4,23.9,16.7,0.0,0.0,0.0,2.0,0.0
"San Francisco, CA",2019-04-23 00:00:00-07:00,12.8,29.4,21.1,0.0,0.0,0.0,0.0,3.0
"San Francisco, CA",2019-04-24 00:00:00-07:00,13.9,25.0,19.4,0.0,0.0,0.0,0.0,1.0
"San Francisco, CA",2019-04-25 00:00:00-07:00,10.0,13.3,11.7,0.0,0.0,0.0,7.0,0.0
"San Francisco, CA",2019-04-26 00:00:00-07:00,10.0,19.4,14.7,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-04-27 00:00:00-07:00,10.6,15.6,13.1,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-28 00:00:00-07:00,10.0,14.4,12.2,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-04-29 00:00:00-07:00,10.0,16.7,13.3,0.0,0.0,0.0,5.0,0.0
"San Francisco, CA",2019-04-30 00:00:00-07:00,10.6,14.4,12.5,0.0,0.0,0.0,6.0,0.0
"San Francisco, CA",2019-05-01 00:00:00-07:00,10.0,18.9,14.4,0.0,0.0,0.0,4.0,0.0
"San Francisco, CA",2019-05-02 00:00:00-07:00,9.4,20.6,15.0,0.0,0.0,0.0,3.0,0.0
"San Francisco, CA",2019-05-03 00:00:00-07:00,10.0,17.8,13.9,0.0,0.0,0.0,4.0,0.0
